Course_Code,Credits,Grade,Semester
ENG102,3,W,Fall 2022
ENG102,3,A,Spring 2023
ENG103,3,B+,Fall 2023
ENG111,3,A-,Spring 2024
BEN205,3,B,Fall 2023
HIS102,3,C,Spring 2023
HIS103,3,F,Fall 2022
HIS103,3,F,Spring 2023
HIS103,3,B+,Summer 2023
PHI104,3,C-,Fall 2024
POL101,3,I,Fall 2023
ECO101,3,D,Fall 2024
BIO103,3,C,Fall 2023
MAT116,0,B,Spring 2023
MAT120,3,B-,Spring 2024
MAT125,3,W,Fall 2023
PHY107,3,C+,Fall 2023
PHY107L,1,B,Fall 2023
PHY108,3,F,Spring 2024
CHE101,3,B+,Fall 2023
CHE101L,1,A-,Fall 2023
CSE115,3,F,Fall 2022
CSE115,3,W,Spring 2023
CSE115,3,A-,Summer 2023
CSE115L,1,A,Summer 2023
EEE154,1,B,Spring 2024
CSE173,3,W,Fall 2023
CSE215,3,A,Summer 2024
CSE215L,1,A,Summer 2024
CSE225,3,F,Fall 2024
CSE225L,1,A,Fall 2024
CSE231,3,F,Spring 2024
CSE231L,1,B,Fall 2024
EEE141,3,W,Spring 2024
EEE141,3,B,Fall 2024
EEE141L,1,B,Fall 2024
EEE111,3,D+,Summer 2024
EEE111L,1,C,Summer 2024
CSE311,3,B,Spring 2024
CSE311,3,A,Fall 2024
CSE440,3,A-,Fall 2024
CSE445,3,B+,Spring 2025
CSE422,3,B,Fall 2024
CSE326,3,C+,Spring 2025
HIS102, 3 , b+ ,Fall 2024
CSE465, 3,A,Fall 2024
BIO207, 3,A,Fall 2024
